block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,key_resp.keys,key_resp.rt,key_resp.duration,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,feedback_block_practice.stopped,loop_practice.key_resp.keys,loop_practice.key_resp.rt,loop_practice.key_resp.duration,continue_check.started,image_continue_check.started,key_resp_continue_check.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023581165998621145,0.034695875001489185,0.034695875001489185,0.7128688750017318,space,0.6549102919998404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7129239999994752,0.7323733750017709,0.9161422079996555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9161648750014137,0.9180462910007918,0.9180462910007918,1.3542175830007182,space,0.43203537500085076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3542529580008704,1.3644730830019398,1.5498444580007344,,,,,,,,1.5759665830009908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.3991170829976909,None,0,0,0,0,,,,,,,,,,,,0,0,0,0,2.5693748330013477,,,,,,,,,2.969890958000178,2.9816662080011156,3.166188333001628,,,,,,,,3.169193000001542,1.5560989160003373,1.5759665830009908,2.5561207909995574,2.5677320409995446,2.5693748330013477,2.5693748330013477,2.969852250000258,space,0.3991170829976909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.18984137499865028,None,0,0,0,0,,,,,,,,,,,,0,1,1,1,3.169193000001542,,,,,,,,,3.3671724160012673,3.371258957999089,3.557411416000832,,,,,,,,3.5646916660007264,,,,3.167598166000971,3.169193000001542,3.169193000001542,3.3671347909985343,space,0.18984137499865028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.2148479999996198,None,0,0,0,0,,,,,,,,,,,,0,2,2,2,3.5646916660007264,,,,,,,,,3.7838156249999884,3.785377000000153,3.96918899999946,,,,,,,,3.981511165999109,,,,3.5609940409995033,3.5646916660007264,3.5646916660007264,3.7837777079985244,space,0.2148479999996198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.22060462499939604,None,0,0,0,0,,,,,,,,,,,,0,3,3,3,3.981511165999109,,,,,,,,,4.2039597910006705,4.214864416000637,4.399810165999952,,,,,,,,4.402585250001721,,,,3.9702474160003476,3.981511165999109,3.981511165999109,4.203926499998488,space,0.22060462499939604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.2156036669985042,None,0,0,0,0,,,,,,,,,,,,0,4,4,4,4.402585250001721,,,,,,,,,4.619636499999615,4.631580332999874,4.81639400000131,,,,,,,,4.819010333001643,,,,4.400982291001128,4.402585250001721,4.402585250001721,4.619603166000161,space,0.2156036669985042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.20616099999824655,None,0,0,0,0,,,,,,,,,,,,0,5,5,5,4.819010333001643,,,,,,,,,5.033773666000343,5.0376610409985005,5.233189750000747,,,,,,,,5.2533578330003365,,,,4.817545582998719,4.819010333001643,4.819010333001643,5.033738041001925,space,0.20616099999824655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.1904103330016369,None,0,0,0,0,,,,,,,,,,,,0,6,6,6,5.2533578330003365,,,,,,,,,5.4504587080009514,5.454560624999431,5.649983291001263,,,,,,,,5.652970375002042,,,,5.243788250001671,5.2533578330003365,5.2533578330003365,5.450418958000228,space,0.1904103330016369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.21100250000017695,None,0,0,0,0,,,,,,,,,,,,0,7,7,7,5.652970375002042,,,,,,,,,5.867298916000436,5.8713896660010505,6.05551579099847,,,,,,,,6.064905540999462,,,,5.651435540999955,5.652970375002042,5.652970375002042,5.86726012500003,space,0.21100250000017695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.22029408399976091,None,0,0,0,0,,,,,,,,,,,,0,8,8,8,6.064905540999462,,,,,,,,,6.287932999999612,6.298482875001355,6.483136540999112,,,,,,,,6.485558332999062,,,,6.0565764579987444,6.064905540999462,6.064905540999462,6.287897000001976,space,0.22029408399976091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,space,0.218549624998559,None,0,0,0,0,,,,,,,,,,,,0,9,9,9,6.485558332999062,,,,,,,,,6.717348000001948,6.721367958001792,6.916673166000692,,,,,,,,6.9285270830005175,,,,6.48415500000192,6.485558332999062,6.485558332999062,6.717311041000357,space,0.218549624998559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.16479916699972819,None,0,0,0,0,,,,,,,,,,,,0,10,10,10,6.9285270830005175,,,,,,,,,7.10059000000183,7.104695916001219,7.300433166001312,,,,,,,,7.304719874999137,,,,6.925798415999452,6.9285270830005175,6.9285270830005175,7.100552083000366,space,0.16479916699972819,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,space,0.25365716599844745,None,0,0,0,0,,,,,,,,,,,,0,11,11,11,7.304719874999137,,,,,,,,,7.567857165999158,7.573084999999992,7.766781499998615,,,,,,,,7.770910750001349,,,,7.302424875000725,7.304719874999137,7.304719874999137,7.567734874999587,space,0.25365716599844745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,12,12,0,13,faces/NEM5.bmp,neutral,male,s,nonBI,happy,happy,hn,hnh1,space,0.2075356669993198,None,0,0,0,0,,,,,,,,,,,,0,12,12,12,7.770910750001349,,,,,,,,,7.984730666001269,7.989997208002023,8.183411875001184,,,,,,,,8.18738137499895,,,,7.768494457999623,7.770910750001349,7.770910750001349,7.984690916000545,space,0.2075356669993198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,13,13,0,14,faces/HAM38.bmp,happy,male,s,BI,neutral,happy,nh,hnh,space,0.21633870800360455,None,0,0,0,0,,,,,,,,,,,,0,13,13,13,8.18738137499895,,,,,,,,,8.405336708001414,8.415570624998509,8.600260291001177,,,,,,,,8.611618708000606,,,,8.185210250001546,8.18738137499895,8.18738137499895,8.405299250000098,space,0.21633870800360455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,14,14,0,15,faces/HAF110.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.2086464589992829,None,0,0,0,0,,,,,,,,,,,,0,14,14,14,8.611618708000606,,,,,,,,,8.822959290999279,8.832262874999287,9.016807291001896,,,,,,,,9.021363874999224,,,,8.608650458001648,8.611618708000606,8.611618708000606,8.822918541001854,space,0.2086464589992829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,15,15,0,16,faces/SAM7.bmp,sad,male,s,nonBI,happy,happy,hs,hsn1,space,0.18749891699917498,None,0,0,0,0,,,,,,,,,,,,0,15,15,15,9.021363874999224,,,,,,,,,9.217835374998685,9.222675083001377,9.416755750000448,,,,,,,,9.422017583001434,,,,9.018749957998807,9.021363874999224,9.021363874999224,9.217797416000394,space,0.18749891699917498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,16,16,0,17,faces/NEF35.bmp,neutral,female,s,control,sad,happy,sn,hsn,space,0.2065995830016618,None,0,0,0,0,,,,,,,,,,,,0,16,16,16,9.422017583001434,,,,,,,,,9.634334665999631,9.639510541001073,9.833582582999952,,,,,,,,9.837656625000818,,,,9.420065291000356,9.422017583001434,9.422017583001434,9.634294457999204,space,0.2065995830016618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,17,17,0,18,faces/NEM6.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.21840904200143996,None,0,0,0,0,,,,,,,,,,,,0,17,17,17,9.837656625000818,,,,,,,,,10.058113166000112,10.065574625001318,10.250243208000029,,,,,,,,10.261454915998911,,,,9.835454583000683,9.837656625000818,9.837656625000818,10.058072541000001,space,0.21840904200143996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,18,18,0,19,faces/SAF20.bmp,sad,female,s,nonBI,neutral,neutral,ns,nsn1,space,0.14735770799961756,None,0,0,0,0,,,,,,,,,,,,0,18,18,18,10.261454915998911,,,,,,,,,10.41782766599863,10.422964083001716,10.616996458000358,,,,,,,,10.623349207999127,,,,10.258111208000628,10.261454915998911,10.261454915998911,10.417790083,space,0.14735770799961756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,19,19,0,20,faces/NEM15.bmp,neutral,male,s,BI,sad,neutral,sn,nsn,space,0.20559954199779895,None,0,0,0,0,,,,,,,,,,,,0,19,19,19,10.623349207999127,,,,,,,,,10.834644999999,10.83691487499891,11.033887500001583,,,,,,,,11.038775790999352,,,,10.6208059160017,10.623349207999127,10.623349207999127,10.8346061250013,space,0.20559954199779895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,20,20,0,21,faces/NEM59.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.16570437499831314,None,0,0,0,0,,,,,,,,,,,,0,20,20,20,11.038775790999352,,,,,,,,,11.217844082999363,11.222605582999677,11.417188957999315,,,,,,,,11.428052291001222,,,,11.0367797910003,11.038775790999352,11.038775790999352,11.217802750001283,space,0.16570437499831314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
block_practice_1.xlsx,688,21,21,0,22,faces/SAF32.bmp,sad,female,s,nonBI,neutral,neutral,ns,non,space,0.2572940829995787,None,0,0,0,0,,,,,,,,,,,,0,21,21,21,11.428052291001222,,,,,,,,,11.687904040998546,11.699013665998791,11.88341062499967,,,,,,,,11.89406604100077,,,,11.425036666001688,11.428052291001222,11.428052291001222,11.68785829099943,space,0.2572940829995787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,296464,001,2025-08-01_15h02.55.712,TIST,2024.2.4,None,2025-08-01 15h03.00.851022 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.04510616599873,65.05191750000085,65.23704558299869,,,,,,,,65.24173125000016,,,,,,,,,,,11.88882729100078,11.89406604100077,11.89406604100077,11.89406604100077,0.0009596659983799327,62.863097165998624,312,[0.023333333333333334],[-0.3616666666666667],[1],[0],[0],[50.973792166998464],['button_text_block_practice'],0,63.06057795800007,63.06433408299927,63.06433408299927,63.06433408299927,65.0450419580011,space,1.9785363330011023,None,65.23762954099948,65.24173125000016,65.24173125000016,,,,,,,,
